,Date,Open,High,Low,Close,Change,Trend,Gap
188,2017-01-31,19533.2,19624.1,19435.45,19515.15,-18.049999999999272,Bearish,D
189,2017-02-01,19522.4,20047.85,19470.95,20020.6,498.1999999999971,Bullish,U
190,2017-02-02,20053.95,20146.9,19915.2,20070.3,16.349999999998545,Bullish,U
191,2017-02-03,20061.9,20229.65,20009.95,20196.8,134.89999999999782,Bullish,D
192,2017-02-06,20307.15,20462.45,20298.05,20371.6,64.44999999999709,Bullish,U
193,2017-02-07,20367.3,20426.95,20281.5,20327.25,-40.04999999999927,Bearish,D
194,2017-02-08,20335.25,20362.8,20070.15,20245.4,-89.84999999999854,Bearish,U
195,2017-02-09,20312.65,20406.6,20000.35,20151.15,-161.5,Bearish,U
196,2017-02-10,20225.75,20310.0,20167.1,20213.9,-11.849999999998545,Bearish,U
197,2017-02-13,20273.65,20308.7,20116.9,20251.8,-21.850000000002183,Bearish,U
198,2017-02-14,20304.5,20314.05,20158.85,20258.1,-46.400000000001455,Bearish,U
199,2017-02-15,20282.1,20368.2,20115.85,20163.7,-118.39999999999782,Bearish,U
200,2017-02-16,20243.25,20295.55,20088.2,20243.7,0.4500000000007276,Bullish,U
201,2017-02-17,20918.45,21042.35,20449.65,20551.35,-367.1000000000022,Bearish,U
202,2017-02-20,20494.85,20702.6,20472.4,20677.1,182.25,Bullish,D
203,2017-02-21,20695.9,20903.35,20619.25,20860.95,165.04999999999927,Bullish,U
204,2017-02-22,20937.6,20958.25,20829.65,20868.45,-69.14999999999782,Bearish,U
205,2017-02-23,20887.65,21011.9,20828.4,20876.65,-11.0,Bearish,U
206,2017-02-27,20853.45,20853.45,20584.75,20613.05,-240.40000000000146,Bearish,D
207,2017-02-28,20632.85,20681.3,20560.6,20607.25,-25.599999999998545,Bearish,U
208,2017-03-01,20698.9,20833.75,20678.75,20783.75,84.84999999999854,Bullish,U
209,2017-03-02,20885.0,20905.0,20516.9,20560.05,-324.9500000000007,Bearish,U
210,2017-03-03,20572.85,20580.45,20423.35,20495.6,-77.25,Bearish,U
